Date,Open,High,Low,Close,Adj Close,Volume
2020-10-26,1.500000,1.500000,1.030000,1.045000,1.045000,6487496
2020-10-27,1.035000,1.140000,0.930000,1.120000,1.120000,3468518
2020-10-28,1.180000,1.180000,1.090000,1.145000,1.145000,913118
2020-10-29,1.090000,1.130000,1.050000,1.105000,1.105000,584809
2020-10-30,1.130000,1.185000,1.105000,1.165000,1.165000,437187
2020-11-02,1.185000,1.290000,1.150000,1.200000,1.200000,581649
2020-11-03,1.240000,1.250000,1.190000,1.195000,1.195000,250669
2020-11-04,1.210000,1.210000,1.130000,1.155000,1.155000,233313
2020-11-05,1.185000,1.185000,1.130000,1.130000,1.130000,210904
2020-11-06,1.160000,1.190000,1.150000,1.160000,1.160000,197457
2020-11-09,1.170000,1.220000,1.170000,1.185000,1.185000,195196
2020-11-10,1.205000,1.205000,1.140000,1.155000,1.155000,214540
2020-11-11,1.150000,1.185000,1.150000,1.175000,1.175000,159170
2020-11-12,1.175000,1.175000,1.130000,1.135000,1.135000,56380
2020-11-13,1.160000,1.200000,1.135000,1.140000,1.140000,245057
2020-11-16,1.165000,1.165000,1.165000,1.165000,1.165000,17516
2020-11-17,1.165000,1.165000,1.120000,1.135000,1.135000,326589
2020-11-18,1.135000,1.135000,1.110000,1.120000,1.120000,202230
2020-11-19,1.115000,1.130000,1.105000,1.105000,1.105000,89955
2020-11-20,1.115000,1.130000,1.085000,1.085000,1.085000,241157
2020-11-23,1.100000,1.100000,1.025000,1.035000,1.035000,313189
2020-11-24,1.040000,1.050000,1.000000,1.010000,1.010000,426021
2020-11-25,1.015000,1.030000,1.000000,1.005000,1.005000,331146
2020-11-26,1.005000,1.075000,1.005000,1.035000,1.035000,111365
2020-11-27,1.060000,1.060000,1.010000,1.035000,1.035000,81874
2020-11-30,1.040000,1.040000,0.985000,0.990000,0.990000,218131
2020-12-01,1.010000,1.010000,0.990000,0.995000,0.995000,80665
2020-12-02,1.000000,1.000000,0.920000,0.960000,0.960000,364940
2020-12-03,0.960000,0.960000,0.930000,0.940000,0.940000,126844
2020-12-04,0.945000,0.995000,0.945000,0.965000,0.965000,165502
2020-12-07,0.980000,0.990000,0.960000,0.980000,0.980000,124289
2020-12-08,0.985000,1.000000,0.970000,0.985000,0.985000,85356
2020-12-09,0.985000,1.020000,0.975000,1.020000,1.020000,57436
2020-12-10,1.020000,1.050000,1.000000,1.020000,1.020000,43867
2020-12-11,1.005000,1.025000,1.005000,1.020000,1.020000,99425
2020-12-14,1.020000,1.030000,1.010000,1.010000,1.010000,28134
2020-12-15,1.015000,1.025000,1.010000,1.010000,1.010000,144720
2020-12-16,1.020000,1.030000,1.020000,1.030000,1.030000,61030
2020-12-17,1.030000,1.030000,1.020000,1.030000,1.030000,90945
2020-12-18,1.020000,1.020000,1.000000,1.020000,1.020000,76640
2020-12-21,1.010000,1.010000,0.980000,0.980000,0.980000,71332
2020-12-22,0.975000,0.980000,0.970000,0.975000,0.975000,52470
2020-12-23,0.985000,0.985000,0.970000,0.975000,0.975000,31000
2020-12-24,0.980000,0.980000,0.955000,0.960000,0.960000,47201
2020-12-29,0.960000,0.970000,0.920000,0.930000,0.930000,92651
2020-12-30,0.930000,0.970000,0.920000,0.920000,0.920000,29958
2020-12-31,0.975000,0.975000,0.975000,0.975000,0.975000,865
