Date,Open,High,Low,Close,Adj Close,Volume
1988-01-29,0.865600,0.865600,0.865600,0.865600,0.587538,0
1988-02-01,null,null,null,null,null,null
1988-02-02,null,null,null,null,null,null
1988-02-03,null,null,null,null,null,null
1988-02-04,null,null,null,null,null,null
1988-02-05,null,null,null,null,null,null
1988-02-08,null,null,null,null,null,null
1988-02-09,null,null,null,null,null,null
1988-02-10,null,null,null,null,null,null
1988-02-11,null,null,null,null,null,null
1988-02-12,null,null,null,null,null,null
1988-02-15,null,null,null,null,null,null
1988-02-16,null,null,null,null,null,null
1988-02-17,null,null,null,null,null,null
1988-02-18,null,null,null,null,null,null
1988-02-19,null,null,null,null,null,null
1988-02-22,null,null,null,null,null,null
1988-02-23,null,null,null,null,null,null
1988-02-24,null,null,null,null,null,null
1988-02-25,null,null,null,null,null,null
1988-02-26,null,null,null,null,null,null
1988-02-29,0.750190,0.750190,0.750190,0.750190,0.509202,0
1988-03-01,null,null,null,null,null,null
1988-03-02,null,null,null,null,null,null
1988-03-03,null,null,null,null,null,null
1988-03-04,null,null,null,null,null,null
1988-03-07,null,null,null,null,null,null
1988-03-08,null,null,null,null,null,null
1988-03-09,null,null,null,null,null,null
1988-03-10,null,null,null,null,null,null
1988-03-11,null,null,null,null,null,null
1988-03-14,null,null,null,null,null,null
1988-03-15,null,null,null,null,null,null
1988-03-16,null,null,null,null,null,null
1988-03-17,null,null,null,null,null,null
1988-03-18,null,null,null,null,null,null
1988-03-21,null,null,null,null,null,null
1988-03-22,null,null,null,null,null,null
1988-03-23,null,null,null,null,null,null
1988-03-24,null,null,null,null,null,null
1988-03-25,null,null,null,null,null,null
1988-03-28,null,null,null,null,null,null
1988-03-29,null,null,null,null,null,null
1988-03-30,null,null,null,null,null,null
1988-03-31,0.577070,0.577070,0.577070,0.577070,0.391694,0
1988-04-01,null,null,null,null,null,null
1988-04-04,null,null,null,null,null,null
1988-04-05,null,null,null,null,null,null
1988-04-06,null,null,null,null,null,null
1988-04-07,null,null,null,null,null,null
1988-04-08,null,null,null,null,null,null
1988-04-11,null,null,null,null,null,null
1988-04-12,null,null,null,null,null,null
1988-04-13,null,null,null,null,null,null
1988-04-14,null,null,null,null,null,null
1988-04-15,null,null,null,null,null,null
1988-04-18,null,null,null,null,null,null
