Date,Open,High,Low,Close,Adj Close,Volume
2003-07-25,1.667780,1.667780,1.667780,1.667780,1.667780,0
2003-07-28,1.667780,1.751160,1.667780,1.667780,1.667780,3286
2003-07-29,1.626080,1.709470,1.626080,1.709470,1.709470,2281
2003-07-30,1.667780,1.667780,1.626080,1.626080,1.626080,2675
2003-07-31,1.626080,1.667780,1.626080,1.667780,1.667780,624
2003-08-01,1.667780,1.667780,1.667780,1.667780,1.667780,142
2003-08-04,1.667780,1.667780,1.667780,1.667780,1.667780,0
2003-08-05,1.667780,1.709470,1.626080,1.626080,1.626080,1854
2003-08-06,1.626080,1.626080,1.626080,1.626080,1.626080,48
2003-08-07,1.626080,1.626080,1.584390,1.584390,1.584390,465
2003-08-08,1.626080,1.626080,1.626080,1.626080,1.626080,9
2003-08-11,1.626080,1.626080,1.626080,1.626080,1.626080,96
2003-08-12,1.584390,1.584390,1.584390,1.584390,1.584390,336
2003-08-13,1.584390,1.584390,1.584390,1.584390,1.584390,480
2003-08-14,1.584390,1.584390,1.584390,1.584390,1.584390,60
2003-08-15,1.584390,1.584390,1.584390,1.584390,1.584390,318
2003-08-18,1.584390,1.709470,1.584390,1.709470,1.709470,672
2003-08-19,1.751160,1.751160,1.709470,1.709470,1.709470,696
2003-08-20,1.751160,1.792860,1.751160,1.792860,1.792860,360
2003-08-21,1.751160,1.834550,1.751160,1.834550,1.834550,432
2003-08-22,1.834550,1.876250,1.751160,1.876250,1.876250,482
2003-08-25,1.876250,1.876250,1.876250,1.876250,1.876250,72
2003-08-26,1.917940,1.917940,1.834550,1.834550,1.834550,1966
2003-08-27,1.876250,1.917940,1.751160,1.834550,1.834550,919
2003-08-28,1.917940,1.917940,1.834550,1.834550,1.834550,474
2003-08-29,1.876250,1.876250,1.876250,1.876250,1.876250,480
2003-09-01,1.876250,1.876250,1.834550,1.834550,1.834550,520
2003-09-02,1.751160,1.751160,1.751160,1.751160,1.751160,96
2003-09-03,1.751160,1.751160,1.751160,1.751160,1.751160,0
2003-09-04,1.834550,1.834550,1.751160,1.751160,1.751160,74
2003-09-05,1.751160,1.751160,1.751160,1.751160,1.751160,25
2003-09-08,1.792860,1.792860,1.792860,1.792860,1.792860,60
2003-09-09,1.792860,1.792860,1.792860,1.792860,1.792860,134
2003-09-10,1.792860,1.834550,1.792860,1.834550,1.834550,525
2003-09-11,1.834550,1.834550,1.792860,1.834550,1.834550,1374
2003-09-12,1.834550,1.959640,1.792860,1.917940,1.917940,3605
2003-09-15,2.001330,2.084720,1.959640,2.001330,2.001330,3427
2003-09-16,2.001330,2.001330,2.001330,2.001330,2.001330,957
2003-09-17,2.001330,2.001330,1.959640,2.001330,2.001330,299
2003-09-18,2.001330,2.001330,1.876250,1.876250,1.876250,482
2003-09-19,1.876250,1.959640,1.876250,1.959640,1.959640,27
2003-09-22,2.001330,2.001330,1.834550,1.876250,1.876250,636
2003-09-23,1.917940,2.001330,1.917940,2.001330,2.001330,852
2003-09-24,2.001330,2.126410,2.001330,2.084720,2.084720,791
2003-09-25,2.084720,2.084720,2.084720,2.084720,2.084720,355
2003-09-26,2.043030,2.084720,2.043030,2.043030,2.043030,724
2003-09-29,2.001330,2.001330,1.917940,1.917940,1.917940,666
2003-09-30,2.001330,2.001330,2.001330,2.001330,2.001330,168
2003-10-01,2.001330,2.084720,2.001330,2.084720,2.084720,432
2003-10-02,2.043030,2.168110,2.043030,2.168110,2.168110,1827
2003-10-03,2.251500,2.376580,2.251500,2.334890,2.334890,2771
2003-10-06,2.251500,2.501660,2.251500,2.501660,2.501660,3581
2003-10-07,2.668440,2.793520,2.585050,2.585050,2.585050,2897
2003-10-08,2.668440,2.793520,2.668440,2.710140,2.710140,2626
2003-10-09,2.751830,2.876910,2.710140,2.793520,2.793520,1379
2003-10-10,2.751830,2.751830,2.585050,2.751830,2.751830,1182
2003-10-13,2.751830,2.751830,2.459970,2.501660,2.501660,1106
2003-10-14,2.501660,2.501660,2.501660,2.501660,2.501660,45
2003-10-15,2.501660,2.585050,2.376580,2.376580,2.376580,319
2003-10-16,2.418270,2.668440,2.418270,2.668440,2.668440,1703
2003-10-17,2.668440,2.751830,2.668440,2.668440,2.668440,3843
2003-10-20,2.668440,2.668440,2.543360,2.543360,2.543360,2711
2003-10-21,2.585050,2.585050,2.459970,2.459970,2.459970,1603
2003-10-22,2.835220,2.960300,2.710140,2.751830,2.751830,4224
2003-10-23,2.835220,2.918610,2.835220,2.876910,2.876910,3225
2003-10-24,2.918610,3.002000,2.918610,2.918610,2.918610,2420
2003-10-27,2.960300,2.960300,2.918610,2.918610,2.918610,1137
