Date,Open,High,Low,Close,Adj Close,Volume
2007-05-29,0.357100,0.357100,0.294610,0.334780,0.334780,1746331
2007-05-30,0.334780,0.357100,0.325850,0.334780,0.334780,1335389
2007-05-31,0.339240,0.401740,0.334780,0.392810,0.392810,885080
2007-06-01,0.410660,0.616000,0.401740,0.517790,0.517790,2571983
2007-06-04,0.540110,0.553500,0.473160,0.482080,0.482080,735218
2007-06-05,0.491010,0.491010,0.432980,0.464230,0.464230,419940
2007-06-06,0.464230,0.499940,0.432980,0.491010,0.491010,263475
2007-06-07,0.450840,0.491010,0.450840,0.491010,0.491010,151611
2007-06-08,0.464230,0.482080,0.446370,0.477620,0.477620,295445
2007-06-12,0.468690,0.468690,0.437450,0.446370,0.446370,117973
2007-06-13,0.437450,0.437450,0.428520,0.428520,0.428520,126288
2007-06-14,0.428520,0.428520,0.410660,0.410660,0.410660,181671
2007-06-15,0.410660,0.446370,0.410660,0.410660,0.410660,35844
2007-06-18,0.410660,0.428520,0.410660,0.410660,0.410660,108940
2007-06-19,0.410660,0.410660,0.392810,0.392810,0.392810,234791
2007-06-20,0.392810,0.392810,0.370490,0.383880,0.383880,150522
2007-06-21,0.374950,0.383880,0.374950,0.383880,0.383880,94916
2007-06-22,0.383880,0.383880,0.357100,0.361560,0.361560,438852
2007-06-25,0.374950,0.374950,0.361560,0.361560,0.361560,80011
2007-06-26,0.361560,0.361560,0.330320,0.357100,0.357100,344020
2007-06-27,0.357100,0.383880,0.334780,0.383880,0.383880,195699
2007-06-28,0.374950,0.379420,0.348170,0.379420,0.379420,260803
2007-06-29,0.357100,0.366030,0.339240,0.357100,0.357100,113787
2007-07-02,0.401740,0.401740,0.357100,0.357100,0.357100,65814
2007-07-03,0.366030,0.383880,0.361560,0.361560,0.361560,73125
2007-07-04,0.366030,0.366030,0.357100,0.357100,0.357100,38919
2007-07-05,0.357100,0.366030,0.357100,0.366030,0.366030,104449
2007-07-06,0.370490,0.374950,0.366030,0.374950,0.374950,89222
2007-07-09,0.374950,0.401740,0.374950,0.392810,0.392810,71776
2007-07-10,0.383880,0.419590,0.383880,0.410660,0.410660,80673
2007-07-11,0.401740,0.401740,0.383880,0.383880,0.383880,41287
2007-07-12,0.410660,0.410660,0.410660,0.410660,0.410660,3685
2007-07-13,0.410660,0.410660,0.392810,0.392810,0.392810,64938
2007-07-16,0.392810,0.392810,0.357100,0.357100,0.357100,17025
2007-07-17,0.366030,0.366030,0.366030,0.366030,0.366030,886
2007-07-18,0.366030,0.366030,0.361560,0.361560,0.361560,37877
2007-07-19,0.370490,0.406200,0.370490,0.406200,0.406200,31494
2007-07-20,0.410660,0.410660,0.410660,0.410660,0.410660,28665
2007-07-23,0.410660,0.410660,0.374950,0.374950,0.374950,66676
2007-07-24,0.374950,0.374950,0.374950,0.374950,0.374950,0
2007-07-25,0.379420,0.379420,0.357100,0.370490,0.370490,244229
2007-07-26,0.370490,0.383880,0.370490,0.374950,0.374950,29364
2007-07-27,0.374950,0.374950,0.374950,0.374950,0.374950,14562
2007-07-30,0.374950,0.374950,0.339240,0.352640,0.352640,117547
2007-07-31,0.352640,0.374950,0.352640,0.374950,0.374950,42005
2007-08-01,0.374950,0.374950,0.348170,0.348170,0.348170,108759
2007-08-02,0.357100,0.366030,0.357100,0.366030,0.366030,101669
2007-08-03,0.366030,0.370490,0.366030,0.366030,0.366030,56231
2007-08-06,0.366030,0.366030,0.361560,0.361560,0.361560,64308
2007-08-07,0.357100,0.357100,0.357100,0.357100,0.357100,8401
2007-08-08,0.339240,0.366030,0.339240,0.366030,0.366030,179258
2007-08-09,0.366030,0.366030,0.339240,0.339240,0.339240,84874
2007-08-10,0.339240,0.339240,0.267820,0.312460,0.312460,161106
2007-08-13,0.303530,0.312460,0.285680,0.290140,0.290140,84406
2007-08-14,0.316930,0.316930,0.241040,0.254430,0.254430,303965
2007-08-15,0.249970,0.258900,0.232110,0.236580,0.236580,136522
2007-08-16,0.241040,0.241040,0.169620,0.178550,0.178550,268167
2007-08-17,0.191940,0.267820,0.191940,0.205330,0.205330,229458
2007-08-20,0.232110,0.267820,0.205330,0.205330,0.205330,413646
2007-08-21,0.254430,0.254430,0.223190,0.227650,0.227650,165201
2007-08-22,0.227650,0.227650,0.227650,0.227650,0.227650,27910
2007-08-23,0.249970,0.249970,0.232110,0.232110,0.232110,248134
2007-08-24,0.249970,0.249970,0.232110,0.232110,0.232110,95827
2007-08-27,0.241040,0.245510,0.232110,0.232110,0.232110,56473
2007-08-28,0.232110,0.232110,0.218720,0.227650,0.227650,76680
2007-08-29,0.223190,0.223190,0.214260,0.223190,0.223190,54980
2007-08-30,0.223190,0.232110,0.223190,0.223190,0.223190,80885
2007-08-31,0.232110,0.232110,0.223190,0.223190,0.223190,46028
2007-09-03,0.223190,0.223190,0.200870,0.214260,0.214260,225133
2007-09-04,0.214260,0.223190,0.205330,0.205330,0.205330,51650
2007-09-05,0.205330,0.205330,0.200870,0.200870,0.200870,18846
2007-09-06,0.205330,0.223190,0.205330,0.223190,0.223190,23462
2007-09-07,0.205330,0.205330,0.205330,0.205330,0.205330,14845
2007-09-10,0.205330,0.209800,0.200870,0.200870,0.200870,56002
2007-09-11,0.200870,0.200870,0.196400,0.200870,0.200870,72985
2007-09-12,0.196400,0.200870,0.191940,0.200870,0.200870,112882
2007-09-13,0.191940,0.196400,0.191940,0.196400,0.196400,25331
2007-09-14,0.196400,0.200870,0.191940,0.191940,0.191940,46585
2007-09-17,0.196400,0.196400,0.191940,0.191940,0.191940,66997
2007-09-18,0.191940,0.205330,0.191940,0.191940,0.191940,52510
2007-09-19,0.191940,0.196400,0.187480,0.196400,0.196400,83624
2007-09-20,0.196400,0.205330,0.196400,0.205330,0.205330,56655
2007-09-21,0.209800,0.241040,0.209800,0.223190,0.223190,284080
2007-09-24,0.241040,0.249970,0.232110,0.236580,0.236580,135372
2007-09-25,0.245510,0.245510,0.245510,0.245510,0.245510,16634
2007-09-26,0.232110,0.241040,0.223190,0.241040,0.241040,91456
2007-09-27,0.218720,0.223190,0.218720,0.218720,0.218720,44931
2007-09-28,0.218720,0.218720,0.214260,0.214260,0.214260,28394
2007-10-01,0.214260,0.214260,0.205330,0.214260,0.214260,54506
2007-10-02,0.205330,0.205330,0.205330,0.205330,0.205330,34355
2007-10-03,0.200870,0.200870,0.196400,0.196400,0.196400,45254
2007-10-04,0.196400,0.196400,0.196400,0.196400,0.196400,5601
2007-10-05,0.196400,0.205330,0.196400,0.205330,0.205330,39125
2007-10-08,0.196400,0.196400,0.187480,0.187480,0.187480,41620
2007-10-09,0.196400,0.214260,0.191940,0.214260,0.214260,247282
2007-10-10,0.205330,0.227650,0.205330,0.223190,0.223190,438832
2007-10-11,0.223190,0.223190,0.223190,0.223190,0.223190,77384
2007-10-12,0.214260,0.214260,0.209800,0.209800,0.209800,318936
2007-10-15,0.209800,0.214260,0.200870,0.200870,0.200870,156181
2007-10-16,0.200870,0.200870,0.196400,0.200870,0.200870,248195
2007-10-17,0.196400,0.200870,0.196400,0.196400,0.196400,136211
2007-10-18,0.196400,0.223190,0.196400,0.223190,0.223190,168722
2007-10-19,0.223190,0.245510,0.209800,0.245510,0.245510,179733
2007-10-22,0.241040,0.241040,0.227650,0.232110,0.232110,14892
2007-10-23,0.236580,0.267820,0.236580,0.241040,0.241040,262938
2007-10-24,0.258900,0.258900,0.214260,0.214260,0.214260,85298
2007-10-25,0.214260,0.218720,0.214260,0.214260,0.214260,34136
2007-10-26,0.214260,0.227650,0.214260,0.223190,0.223190,112591
2007-10-29,0.241040,0.263360,0.241040,0.263360,0.263360,640955
2007-10-30,0.263360,0.276750,0.258900,0.267820,0.267820,448501
2007-10-31,0.249970,0.249970,0.232110,0.241040,0.241040,156266
2007-11-01,0.241040,0.249970,0.227650,0.241040,0.241040,476464
2007-11-02,0.249970,0.254430,0.232110,0.232110,0.232110,260815
2007-11-05,0.249970,0.249970,0.241040,0.241040,0.241040,172548
2007-11-06,0.241040,0.258900,0.241040,0.258900,0.258900,103967
2007-11-07,0.267820,0.294610,0.267820,0.281220,0.281220,344970
2007-11-08,0.276750,0.276750,0.263360,0.263360,0.263360,395759
2007-11-09,0.276750,0.276750,0.263360,0.263360,0.263360,163438
2007-11-12,0.263360,0.276750,0.263360,0.263360,0.263360,124391
2007-11-13,0.263360,0.263360,0.258900,0.258900,0.258900,66737
2007-11-14,0.254430,0.254430,0.249970,0.254430,0.254430,81424
2007-11-15,0.254430,0.254430,0.254430,0.254430,0.254430,13812
2007-11-16,0.249970,0.249970,0.241040,0.241040,0.241040,56102
2007-11-19,0.249970,0.258900,0.241040,0.241040,0.241040,31989
2007-11-20,0.249970,0.249970,0.249970,0.249970,0.249970,2240
2007-11-21,0.241040,0.241040,0.232110,0.232110,0.232110,60940
2007-11-22,0.223190,0.227650,0.223190,0.223190,0.223190,112733
2007-11-23,0.223190,0.223190,0.223190,0.223190,0.223190,27992
2007-11-26,0.223190,0.236580,0.223190,0.236580,0.236580,42194
2007-11-27,0.223190,0.223190,0.214260,0.223190,0.223190,113726
2007-11-28,0.223190,0.223190,0.214260,0.214260,0.214260,47275
2007-11-29,0.218720,0.223190,0.209800,0.223190,0.223190,73950
2007-11-30,0.223190,0.223190,0.223190,0.223190,0.223190,0
2007-12-03,0.200870,0.218720,0.200870,0.218720,0.218720,5521
2007-12-04,0.214260,0.214260,0.200870,0.200870,0.200870,63871
2007-12-05,0.196400,0.196400,0.183010,0.183010,0.183010,3106
2007-12-06,0.187480,0.196400,0.183010,0.183010,0.183010,34090
2007-12-07,0.187480,0.196400,0.187480,0.187480,0.187480,140390
2007-12-10,0.187480,0.187480,0.178550,0.183010,0.183010,35247
2007-12-11,0.183010,0.196400,0.178550,0.196400,0.196400,212860
2007-12-12,0.196400,0.200870,0.196400,0.200870,0.200870,14180
2007-12-13,0.196400,0.196400,0.178550,0.183010,0.183010,75842
2007-12-14,0.178550,0.178550,0.174090,0.174090,0.174090,42841
2007-12-17,0.174090,0.196400,0.174090,0.196400,0.196400,13171
2007-12-18,0.174090,0.191940,0.165160,0.178550,0.178550,220026
2007-12-19,0.174090,0.178550,0.174090,0.178550,0.178550,69545
2007-12-20,0.178550,0.178550,0.165160,0.165160,0.165160,140083
2007-12-21,0.169620,0.178550,0.169620,0.169620,0.169620,118999
2007-12-24,0.183010,0.183010,0.183010,0.183010,0.183010,12194
2007-12-27,0.178550,0.178550,0.178550,0.178550,0.178550,24664
2007-12-28,0.178550,0.178550,0.178550,0.178550,0.178550,16802
2007-12-31,0.178550,0.178550,0.169620,0.169620,0.169620,11304
2008-01-02,0.169620,0.169620,0.169620,0.169620,0.169620,44392
2008-01-03,0.169620,0.169620,0.169620,0.169620,0.169620,12344
2008-01-04,0.169620,0.169620,0.165160,0.165160,0.165160,26293
2008-01-07,0.165160,0.165160,0.151770,0.156230,0.156230,187502
2008-01-08,0.156230,0.156230,0.151770,0.151770,0.151770,58858
2008-01-09,0.156230,0.156230,0.151770,0.151770,0.151770,54744
2008-01-10,0.151770,0.156230,0.138380,0.138380,0.138380,36008
2008-01-11,0.151770,0.156230,0.151770,0.151770,0.151770,54755
2008-01-14,0.151770,0.151770,0.142840,0.142840,0.142840,19720
2008-01-15,0.142840,0.142840,0.142840,0.142840,0.142840,34077
2008-01-16,0.147300,0.147300,0.142840,0.142840,0.142840,36317
2008-01-17,0.142840,0.142840,0.142840,0.142840,0.142840,4522
2008-01-18,0.147300,0.151770,0.147300,0.147300,0.147300,22459
2008-01-21,0.147300,0.147300,0.147300,0.147300,0.147300,2240
2008-01-22,0.142840,0.142840,0.102670,0.102670,0.102670,43125
2008-01-23,0.124980,0.124980,0.124980,0.124980,0.124980,15682
2008-01-24,0.116060,0.124980,0.116060,0.124980,0.124980,77048
2008-01-25,0.124980,0.124980,0.111590,0.124980,0.124980,126748
2008-01-29,0.142840,0.142840,0.142840,0.142840,0.142840,5601
2008-01-30,0.124980,0.124980,0.116060,0.116060,0.116060,134116
2008-01-31,0.116060,0.116060,0.116060,0.116060,0.116060,2240
2008-02-01,0.120520,0.124980,0.120520,0.124980,0.124980,10327
2008-02-04,0.133910,0.147300,0.124980,0.129450,0.129450,18437
2008-02-05,0.129450,0.129450,0.129450,0.129450,0.129450,0
2008-02-06,0.124980,0.124980,0.124980,0.124980,0.124980,5634
2008-02-07,0.120520,0.124980,0.111590,0.124980,0.124980,239145
2008-02-08,0.111590,0.111590,0.111590,0.111590,0.111590,26995
2008-02-11,0.111590,0.133910,0.111590,0.133910,0.133910,22403
2008-02-12,0.116060,0.116060,0.107130,0.107130,0.107130,39102
2008-02-13,0.107130,0.107130,0.102670,0.102670,0.102670,14069
2008-02-14,0.098200,0.098200,0.089270,0.098200,0.098200,151240
2008-02-15,0.116060,0.116060,0.098200,0.098200,0.098200,0
2008-02-18,0.098200,0.098200,0.098200,0.098200,0.098200,19579
2008-02-19,0.098200,0.098200,0.098200,0.098200,0.098200,2262
