Date,Open,High,Low,Close,Adj Close,Volume
1988-07-29,105.000000,105.000000,105.000000,105.000000,103.417084,0
1988-08-01,null,null,null,null,null,null
1988-08-02,null,null,null,null,null,null
1988-08-03,null,null,null,null,null,null
1988-08-04,null,null,null,null,null,null
1988-08-05,null,null,null,null,null,null
1988-08-08,null,null,null,null,null,null
1988-08-09,null,null,null,null,null,null
1988-08-10,null,null,null,null,null,null
1988-08-11,null,null,null,null,null,null
1988-08-12,null,null,null,null,null,null
1988-08-15,null,null,null,null,null,null
1988-08-16,null,null,null,null,null,null
1988-08-17,null,null,null,null,null,null
1988-08-18,null,null,null,null,null,null
1988-08-19,null,null,null,null,null,null
1988-08-22,null,null,null,null,null,null
1988-08-23,null,null,null,null,null,null
1988-08-24,null,null,null,null,null,null
1988-08-25,null,null,null,null,null,null
1988-08-26,null,null,null,null,null,null
1988-08-29,null,null,null,null,null,null
1988-08-30,null,null,null,null,null,null
1988-08-31,105.000000,105.000000,105.000000,105.000000,103.417084,0
1988-09-01,null,null,null,null,null,null
1988-09-02,null,null,null,null,null,null
1988-09-05,null,null,null,null,null,null
1988-09-06,null,null,null,null,null,null
1988-09-07,null,null,null,null,null,null
1988-09-08,null,null,null,null,null,null
1988-09-09,null,null,null,null,null,null
1988-09-12,null,null,null,null,null,null
1988-09-13,null,null,null,null,null,null
1988-09-14,null,null,null,null,null,null
1988-09-15,null,null,null,null,null,null
1988-09-16,null,null,null,null,null,null
1988-09-19,null,null,null,null,null,null
1988-09-20,null,null,null,null,null,null
1988-09-21,null,null,null,null,null,null
1988-09-22,null,null,null,null,null,null
1988-09-23,null,null,null,null,null,null
1988-09-26,null,null,null,null,null,null
1988-09-27,null,null,null,null,null,null
1988-09-28,null,null,null,null,null,null
1988-09-29,null,null,null,null,null,null
1988-09-30,96.250000,96.250000,96.250000,96.250000,94.798996,0
1988-10-03,null,null,null,null,null,null
1988-10-04,null,null,null,null,null,null
1988-10-05,null,null,null,null,null,null
1988-10-06,null,null,null,null,null,null
1988-10-07,null,null,null,null,null,null
1988-10-10,null,null,null,null,null,null
1988-10-11,null,null,null,null,null,null
1988-10-12,null,null,null,null,null,null
1988-10-13,null,null,null,null,null,null
1988-10-14,null,null,null,null,null,null
1988-10-17,null,null,null,null,null,null
1988-10-18,null,null,null,null,null,null
1988-10-19,null,null,null,null,null,null
1988-10-20,null,null,null,null,null,null
1988-10-21,null,null,null,null,null,null
1988-10-24,null,null,null,null,null,null
1988-10-25,null,null,null,null,null,null
1988-10-26,null,null,null,null,null,null
1988-10-27,null,null,null,null,null,null
1988-10-28,null,null,null,null,null,null
