episode,timestep,target_reached,bust,timeout,positive_rate,negative_rate,timeout_rate,avg_balance_last_1000,mean_balance_all
1000,10952,56,944,0,0.056,0.944,0.0,83.5139,83.5139
2000,23400,116,1884,0,0.058,0.942,0.0,83.2562,83.385
3000,37696,175,2825,0,0.058333,0.941667,0.0,92.9538,86.5746
4000,55376,231,3769,0,0.05775,0.94225,0.0,80.9263,85.1625
5000,76376,287,4713,0,0.0574,0.9426,0.0,80.0206,84.1342
6000,104328,346,5654,0,0.057667,0.942333,0.0,89.1091,84.9633
7000,145936,396,6604,0,0.056571,0.943429,0.0,66.0931,82.2676
8000,221296,460,7539,1,0.0575,0.942375,0.000125,91.7927,83.4582
9000,477848,521,8268,211,0.057889,0.918667,0.023444,89.6531,84.1465
10000,855248,563,8675,762,0.0563,0.8675,0.0762,103.265,86.0584
11000,1241080,580,9079,1341,0.052727,0.825364,0.121909,83.9922,85.8705
12000,1629728,595,9484,1921,0.049583,0.790333,0.160083,94.6922,86.6057
13000,2023304,608,9878,2514,0.046769,0.759846,0.193385,104.8666,88.0104
14000,2404264,626,10347,3027,0.044714,0.739071,0.216214,102.974,89.0792
15000,2798728,641,10779,3580,0.042733,0.7186,0.238667,98.8105,89.728
16000,3189176,663,11321,4016,0.041438,0.707562,0.251,90.2067,89.7579
17000,3597272,689,11862,4449,0.040529,0.697765,0.261706,99.8882,90.3538
18000,3986208,727,12476,4797,0.040389,0.693111,0.2665,108.4004,91.3564
19000,4389872,758,13121,5121,0.039895,0.690579,0.269526,93.9928,91.4951
20000,4785528,782,13732,5486,0.0391,0.6866,0.2743,91.4764,91.4942
21000,5158168,803,14345,5852,0.038238,0.683095,0.278667,85.9485,91.2301
22000,5517944,833,15006,6161,0.037864,0.682091,0.280045,99.8422,91.6216
23000,5862808,853,15617,6530,0.037087,0.679,0.283913,88.6826,91.4938
24000,6207992,871,16167,6962,0.036292,0.673625,0.290083,103.5079,91.9944
25000,6552832,882,16718,7400,0.03528,0.66872,0.296,91.5946,91.9784
26000,6892504,900,17279,7821,0.034615,0.664577,0.300808,111.4726,92.7282
27000,7238488,916,17822,8262,0.033926,0.660074,0.306,105.4947,93.201
28000,7568216,928,18406,8666,0.033143,0.657357,0.3095,94.5793,93.2502
29000,7923624,935,18902,9163,0.032241,0.651793,0.315966,96.1701,93.3509
30000,8233424,958,19532,9510,0.031933,0.651067,0.317,104.192,93.7123
31000,8569240,968,20111,9921,0.031226,0.648742,0.320032,91.9982,93.657
32000,8895888,979,20721,10300,0.030594,0.647531,0.321875,92.4556,93.6194
33000,9230736,994,21286,10720,0.030121,0.64503,0.324848,96.6024,93.7098
34000,9557072,1016,21915,11069,0.029882,0.644559,0.325559,94.8688,93.7439
35000,9878400,1047,22662,11291,0.029914,0.647486,0.3226,86.8992,93.5484
35378,10010624,1057,22935,11386,0.029877,0.648284,0.321838,81.9381,93.3845
